THCIC_ID,PROVIDER_NAME,ZIP
572000,Haskell Memorial Hospital,79521
574001,Palacios Community Medical Center,77465
597000,Seton Edgar B Davis Hospital,78648
601000,Rio Grande Regional Hospital,78503
602000,St Davids South Austin Hospital,78704
606000,Cypress Fairbanks Medical Center,77065
608000,Round Rock Medical Center,78681
609001,Memorial Hermann Sugar Land,77479
615000,Memorial Hermann The Woodlands Hospital,77380
616000,HEALTHSOUTH Rehab Hospital Humble,77338
622001,Texas NeuroRehab Center,78745
625000,Baylor Scott & White Medical Center Lake Pointe,75088
627000,Texas Health Harris Methodist Hospital-Southwest Fort W,76132
629001,Palestine Regional Medical Center,75801
631000,Muleshoe Area Medical Center,79347
634000,Childrens Hospital of San Antonio,78229
636000,HEALTHSOUTH Rehab Institute-San Antonio,78250
640000,Hamilton General Hospital,76531
642000,Baylor Institute for Rehab,75246
645000,Kindred Hospital-San Antonio,78229
647000,Baptist Emergency Hospital Thousand Oaks,78232
649000,St Davids Rehab Center,78705
652000,Texas Health Specialty Hospital-Fort Worth,76104
653001,UT Southwestern University Hospital-Zale Lipshy,75390
654000,Golden Plains Community Hospital,79007
657000,Kindred Hospital-Mansfield,76063
659000,HEALTHSOUTH Rehab Hospital,76102
660000,HEALTHSOUTH Rehab Hospital-Arlington,76015
662000,HEALTHSOUTH City View Rehab Hospital,76132
664000,Texas Health Presbyterian Hospital-Plano,75093
666000,Stonewall Memorial Hospital,79502
670000,HEALTHSOUTH Plano Rehab Hospital,75075
670001,Mesquite Rehab Hospital,75149
672000,Select Specialty Hospital-Dallas,75115
674000,TOPS Surgical Specialty Hospital,77090
675000,Kingwood Medical Center,77339
676000,Kindred Hospital-Houston Medical Center,77030
677001,North Central Baptist Hospital,78258
679000,Burleson St Joseph Health Center-Caldwell,77836
680000,Kindred Rehab Hospital Clear Lake,77598
680001,HealthSouth Rehab Hospital Dallas,75230
681001,Methodist Ambulatory Surgery Hospital-Northwest,78240
681400,Kell West Regional Hospital,76310
684000,HEALTHSOUTH Rehab Hospital-Texarkana,75501
685000,HEALTHSOUTH Rehab Hospital-Wichita Falls,76302
686000,Covenant Childrens Hospital,79410
689401,CHRISTUS Spohn Hospital Alice,78332
690000,Kindred Hospital-Tarrant County,76011
690600,LifeCare Hospital-Fort Worth,76132
691000,Memorial Specialty Hospital,75904
692000,Trinity Mother Frances Rehab Hospital,75701
693000,HEALTHSOUTH Rehab Hospital-Midland/Odessa,79707
694100,Surgery Specialty Hospitals of America-Southeast Housto,77504
695000,HEALTHSOUTH Rehab Hospital The Woodlands,77384
698004,Cornerstone Hospital Houston-Clear Lake,77598
698005,Cornerstone Hospital Houston-Bellaire,77081
700000,Cornerstone Hospital-Austin,78756
700003,HealthSouth Rehab Hospital Mid-Cities,76021
701000,Mesa Hills Specialty Hospital,79912
702001,Acuity Hospital South Texas,78212
703000,Corpus Christi Medical Center-Bay Area,78412
703002,Corpus Christi Medical Center-Doctors Regional,78411
703003,Corpus Christi Medical Center-Heart Hospital,78413
703005,Bayview Behavioral Hospital,78414
704004,Corpus Christi Medical Center-Northwest,78410
706000,Kindred Hospital Houston NW,77065
708000,CHRISTUS Dubuis Hospital-Beaumont,77702
708001,CHRISTUS Dubuis Hospital-Port Arthur,77642
709001,Red River Hospital,76301
711900,Big Bend Regional Medical Center,79830
712500,HealthBridge Childrens Hospital-Houston,77082
713001,CHRISTUS St Michael Rehab Hospital,75503
714000,Northwest Texas Surgery Center,79121
714500,Ennis Regional Medical Center,75119
717000,LifeCare Hospital-Dallas,75235
717500,Physicians Centre Hospital,77801
718000,Devereux Texas Treatment Network,77573
718002,Highlands Rehabilitation Hospital,79936
719400,Kindred Hospital-White Rock,75218
720000,Texas Health Seay Behavioral Health Center,75093
720401,Kindred Hospital Baytown,77520
720402,Kindred Hospital Clear Lake,77598
723001,Laurel Ridge Treatment Center,78259
724200,Texas Health Presbyterian Hospital Allen,75013
724700,Houston Methodist Willowbrook Hospital,77070
725400,Christus Mother Frances Hospital-Jacksonville,75766
727100,Kindred Hospital El Paso,79902
728200,El Paso Specialty Hospital,79902
728800,Grimes St Joseph Health Center,77868
730001,Texas Health Heart & Vascular Hospital,76012
736000,DePaul Center,76712
737000,Clarity Child Guidance Center,78229
739001,Texas NeuroRehab Center,78745
740000,St Lukes Hospital at the Vintage,77070
744001,Cypress Creek Hospital,77090
747000,River Crest Hospital,76901
750000,Methodist Hospital for Surgery,75001
752000,Timberlawn Mental Health System,75218
754000,Glen Oaks Hospital,75403
755001,West Oaks Hospital,77074
758000,Houston Hospital for Specialized Surgery,77004
763000,Plaza Specialty Hospital,77004
765001,Millwood Hospital,76011
766000,Green Oaks Hospital,75251
770000,Seton Shoal Creek Hospital,78731
